"Peak_id","Peak_mz","Peak_center","Peak_height","Peak_width","Peak_area","Peak_start_time","Peak_end_time","Peak_area_top","Peak_ridge_length","Peak_ridge_drift","Peak_gauss_fit","Peak_SNR"
"91.1.1",138.046773729294,493.20951,197975.78125,41.2415954669661,3563162.69726562,476.868,518.323476,176951.052083333,56,0.0535714285714286,0.952908116193204,4.60037271881357
"92.1.1",125.107547552938,113.865174,108312.09375,119.142386904569,10300481.4492188,60.322902,179.84811,103931.317708333,56,0.857142857142857,0.262083908604695,0.991559345032183
"92.1.2",125.107520604825,298.856064,122840.390625,106.311668314846,9046970.515625,232.807254,338.969916,105712.708333333,56,0.821428571428571,0.389534808398417,1.00786282705335
"92.1.3",125.107545919226,235.526238,110505.6015625,34.8262361721047,3012646.23046875,218.264352,253.256604,100903.890625,16,0.5,0.239361193363206,1.01181834589902
"92.1.4",125.107554762459,167.034324,100688.2421875,87.9820703295276,7515225.92578125,123.130614,210.941514,98874.8098958333,9,0.666666666666667,0.149125281677178,1.00634545850738
"92.1.5",125.107541252653,124.041858,108312.09375,45.8239949632956,3844116.78515625,100.74651,146.888952,98803.4453125,2,1,0.209043626022045,1.01091349769652
"92.1.6",125.107539280193,116.600772,108312.09375,32.9932763735728,2755738.1171875,99.831642,133.178658,98803.4453125,44,0.840909090909091,0.38790308898972,1.02926995473581
"92.1.7",125.107552465743,151.477782,108312.09375,98.9798291207185,8466040.44140625,101.692374,200.879094,99390.203125,1,1,0.101356679374099,1.00228230006236
"92.2.1",125.107534008293,390.30933,100439.671875,99.8963090199845,8514727.4453125,355.460568,454.936146,98838.7447916667,56,0.75,0.47761985888213,1.49282057395194
"92.2.2",125.107510000715,610.47726,92020.5390625,120.9753467031,6222155.63085938,549.703266,670.45368,75813.9010416667,56,0.821428571428571,0.395393935554677,1.56152265295439
"92.2.3",125.107515324223,856.86456,71309.2421875,64.1535929486139,3339172.78320312,824.78958,889.10736,66657.109375,56,0.160714285714286,0.387054717290904,1.55240065674282
"92.2.4",125.10754276345,1071.54354,58795.15625,92.5644698258572,3872960.36914062,1006.36458,1099.08534,54766.04296875,56,0.75,0.478589143103815,1.51870502166961
"92.2.5",125.107522652901,739.63998,66401.6328125,84.3161507324639,4195141.27148438,697.76538,781.42374,63426.6276041667,26,0.807692307692308,0.273188004844254,1.51872580823722
"92.2.6",125.10753008928,497.760852,196879.921875,40.3251155677001,2756560.84960938,477.780744,518.323476,88271.9479166667,21,0.80952380952381,0.356412114426714,1.54324024620829
"92.2.7",125.107528769652,977.95656,58021.53515625,98.9798291207185,4302125.578125,928.52496,1027.45632,54750.3645833333,20,0.4,0.231921115095788,1.50919264123422
"92.2.8",125.107506618472,671.39034,70388.9296875,40.3251155677001,2132248.14453125,651.39096,691.41342,65140.0442708333,8,0.75,0.162915210808811,1.49077590212494
"92.2.9",125.107552211248,454.023282,94434.6953125,34.8262361721047,2795539.37109375,436.698516,471.384288,91609.4947916667,7,0.714285714285714,0.260743411962171,1.51543371620865
"92.2.10",125.107513610259,812.05128,70616.984375,80.6502311354003,4004280.66210938,772.46226,852.24624,62805.8776041667,5,1,0.11977707015461,1.47763304583561
"92.2.11",125.107543116363,1033.88526,53808.26953125,34.8262361721047,1416769.95019531,1016.45136,1051.332,50566.9466145833,1,1,0.2560620515045,1.50776856675206
"93.1.1",123.103155096402,344.442882,196310.984375,36.6591959706365,4227027.99804688,329.012238,365.544366,193198.520833333,56,0.0714285714285714,0.950624973832126,2.87547037528589
"94.1.1",125.082350458541,113.865174,190057.96875,119.142386904569,15812741.671875,60.322902,179.84811,168345.375,56,0.821428571428571,0.285772608885018,0.97793540076126
"94.1.2",125.082383949568,322.588782,157578.265625,34.8262361721047,4374815.6484375,300.662928,335.262066,148316.859375,56,0.803571428571429,0.560783268084302,1.01326289993848
"94.1.3",125.082344240739,229.163406,154927.546875,32.9932763735728,4388702.59375,212.794266,245.829282,146317.786458333,9,0.666666666666667,0.524273126220492,1.01320423732243
"94.1.4",125.082360331378,178.933728,159025.03125,82.4831909339321,10533825.4101562,137.735382,220.086966,149179.71875,7,1,0.243816133167,0.988625792966661
"94.1.5",125.082345742797,127.681704,190057.96875,34.8262361721047,4685713.68359375,110.064324,145.065462,168345.375,6,0.666666666666667,0.75348227210076,1.05891663136936
"94.1.6",125.082352686149,276.955452,153034.921875,75.1513517398048,9714742.65234375,239.308464,314.201964,148133.755208333,2,1,0.271033645409726,0.990961267112064
"94.1.7",125.082356389724,237.491838,159025.03125,131.973105494291,17619393.1953125,171.636912,303.393534,152492.015625,1,1,0.131654201231367,0.980345885969213
"94.2.1",125.082384269935,368.412846,155033.859375,54.9887939559547,7282917.99609375,351.871338,406.66197,153939.989583333,56,0.785714285714286,0.546618746177616,1.24277635540242
"94.2.2",125.082275995345,859.6008,138869.140625,58.6547135530184,3717062.63085938,830.24142,889.10736,80061.2604166667,56,0.428571428571429,0.255800219603662,1.24188961031618
"94.2.3",125.082267385352,1068.76842,75529.703125,92.5644698258572,4398287.82617188,1006.36458,1099.08534,65218.6328125,56,0.857142857142857,0.42502589173802,1.24495726325406
"94.2.4",125.082290472525,594.993456,103098.0234375,100.81278891925,7356801.81640625,544.176792,645.01812,96357.3098958333,51,0.823529411764706,0.392167995215587,1.26979456711493
"94.2.5",125.082352173025,503.393952,181681.96875,75.1513517398048,7130723.72265625,465.892326,541.43169,139807.450520833,26,0.5,0.296843917217245,1.24901731053761
"94.2.6",125.082294486473,695.0439,87995.8359375,34.8262361721047,2412153.18359375,677.73606,712.3464,80860.578125,24,0.5,0.147576092141185,1.22114695016111
"94.2.7",125.082289886923,930.3492,82841.0625,56.8217537544866,3176222.08007812,902.00394,958.72842,70538.1588541667,19,0.368421052631579,0.231732853446258,1.23734674960971
