Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	MSI level	Comment	Mannually modified	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	190715_Blk_KM1906U14-Blk_C	190715_Poo_TruePooFK180310_Full1	190715_Poo_TruePooFK180310_Full2	190715_Poo_TruePooFK180310_Full3
1175	8.789	129.13885	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	11.87	190715_Poo_TruePooFK180310_Full3	129.13885:46952 130.1422:0 131.14556:0		16878	31832	25512	46952
1176	21.467	129.33205	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7182.13	190715_Poo_TruePooFK180310_Full2	129.33205:359106 130.3354:0 131.33876:0		176400	203118	359106	334971
1177	0.178	129.33229	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2420.67	190715_Poo_TruePooFK180310_Full2	129.33229:145184 130.33564:0 131.339:0		0	8222	145184	96883
1178	20.665	129.95686	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	22505.14	190715_Blk_KM1906U14-Blk_C	129.95686:4475648 130.96021:2573516 131.96357:0		4475648	3177449	3433951	3499416
1179	11.649	130.04993	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	22.24	190715_Blk_KM1906U14-Blk_C	130.04993:89737 131.05328:0 132.05664:15585		89737	39608	33778	29823
1180	7.009	130.04999	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.84	190715_Blk_KM1906U14-Blk_C	130.04999:86670 131.05334:8172 132.0567:37691		86670	52085	51335	59606
1181	9.923	130.05003	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	438.74	190715_Poo_TruePooFK180310_Full1	130.05003:3636692 131.05338:213777 132.05674:36731		2621	3636692	2447077	2173807
1182	10.825	130.05005	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	95.47	190715_Poo_TruePooFK180310_Full1	130.05005:718285 131.0534:52978 132.05676:16153		575548	718285	503163	467012
1183	0.294	130.06525	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	10.5	190715_Poo_TruePooFK180310_Full3	130.06525:57560 131.0686:45256 132.07196:14884		35512	40391	8824	57560
1184	8.669	130.06937	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	16.53	190715_Poo_TruePooFK180310_Full1	130.06937:173166 131.07272:258519 132.07608:33070		14428	173166	185433	3311
1185	2.198	130.0864	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.45	190715_Poo_TruePooFK180310_Full1	130.0864:312340 131.08975:61966 132.09311:284488		192078	312340	307409	400682
1186	9.664	130.08644	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.83	190715_Poo_TruePooFK180310_Full3	130.08644:170715 131.08979:0 132.09315:909832		56500	160711	157514	170715
1187	10.281	130.08644	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.5	190715_Poo_TruePooFK180310_Full1	130.08644:207310 131.08979:181499 132.09315:745146		65734	207310	140642	166234
1188	0.276	130.08647	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.59	190715_Poo_TruePooFK180310_Full3	130.08647:445970 131.08982:0 132.09318:2380243		143289	211825	632654	445970
1189	7.659	130.08647	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.19	190715_Poo_TruePooFK180310_Full1	130.08647:217647 131.08982:96824 132.09318:2436772		119989	217647	178871	228201
1190	10.153	130.09761	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	12.16	190715_Blk_KM1906U14-Blk_C	130.09761:198947 131.10096:13437 132.10432:86465		198947	87770	12326	23928
1191	14.25	130.09764	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	20.74	190715_Poo_TruePooFK180310_Full1	130.09764:356282 131.10099:115194 132.10435:204880		19490	356282	12061	61069
1192	7.607	130.09766	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.44	190715_Poo_TruePooFK180310_Full1	130.09766:79301 131.10101:49307 132.10437:2403210		47777	79301	16418	21569
1193	0.13	130.09767	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	10.78	190715_Poo_TruePooFK180310_Full1	130.09767:181548 131.10102:76044 132.10438:312446		43748	181548	143243	73457
1194	9.301	130.09767	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	11.13	190715_Poo_TruePooFK180310_Full3	130.09767:270737 131.10102:0 132.10438:55976		22904	255431	233306	270737
1195	13.276	130.0977	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.42	190715_Poo_TruePooFK180310_Full3	130.0977:194510 131.10105:53586 132.10441:292203		112610	52988	4035	194510
1196	16.017	130.09772	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.07	190715_Poo_TruePooFK180310_Full3	130.09772:174454 131.10107:65788 132.10443:297094		18816	22429	18538	174454
1197	18.143	130.09773	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.32	190715_Poo_TruePooFK180310_Full3	130.09773:239186 131.10108:147412 132.10444:370023		9356	14777	14014	239186
1198	17.413	130.09775	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.42	190715_Poo_TruePooFK180310_Full3	130.09775:101207 131.1011:43167 132.10446:297821		14411	22161	12826	101207
1199	18.537	130.09776	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.41	190715_Poo_TruePooFK180310_Full3	130.09776:132901 131.10111:52215 132.10447:294695		14784	16470	9973	132901
1200	17.854	130.09778	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.03	190715_Poo_TruePooFK180310_Full3	130.09778:96247 131.10113:36801 132.10449:267962		11094	42464	9912	96247
1201	1.776	130.12273	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.56	190715_Blk_KM1906U14-Blk_C	130.12273:49380 131.12608:131107 132.12944:0		49380	15949	9421	13008
1202	21.324	130.13419	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	11.69	190715_Poo_TruePooFK180310_Full2	130.13419:261317 131.13754:0 132.1409:0		80584	115736	261317	212141
1203	0.156	130.15923	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	26.81	190715_Poo_TruePooFK180310_Full3	130.15923:235501 131.16258:0 132.16594:114058		91217	85031	83403	235501
1204	5.128	130.15926	Unknown	[M+H]+		1	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	72.73	190715_Poo_TruePooFK180310_Full3	130.15926:952338 131.16261:88439 132.16597:0		183800	758911	692803	952338
1205	12.951	130.15932	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.53	190715_Poo_TruePooFK180310_Full3	130.15932:93573 131.16267:0 132.16603:0		44824	64654	73906	93573
1206	20.158	130.95773	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2729.77	190715_Blk_KM1906U14-Blk_C	130.95773:2251448 131.96108:0 132.96444:0		2251448	0	1792030	1297929
1207	21.31	130.95784	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	796.16	190715_Poo_TruePooFK180310_Full2	130.95784:2700592 131.96119:0 132.96455:0		1513845	2077227	2700592	2408956
1208	6.904	130.96672	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.74	190715_Poo_TruePooFK180310_Full3	130.96672:42657 131.97007:0 132.97343:0		18047	24059	18136	42657
1209	9.597	130.98045	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.53	190715_Poo_TruePooFK180310_Full3	130.98045:46120 131.9838:0 132.98716:27467		48869	48500	43395	46120
1210	2.714	131.07045	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	5.86	190715_Poo_TruePooFK180310_Full1	131.07045:198056 132.0738:58599 133.07716:17783		262570	198056	138000	136607
