"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Cl","Ac","H2O_H","Br","X2H"
"FT042",124.006344382758,586.257781982422,25182869.4457266,0,0,0,0,0,0,0,0,0,0,0
"FT043",124.006331039196,603.148132324219,13135141.2706161,0,0,0,0,0,0,0,0,0,0,0
"FT044",124.990369004934,367.857696533203,30825048.464935,0,0,0,0,0,0,0,0,0,0,0
"FT045",124.990366440807,165.142364501953,10250375.9805878,0,0,0,0,0,0,0,0,0,0,0
"FT046",124.990355619424,393.109039306641,39394518.8288163,0,0,0,0,0,0,0,0,0,0,0
"FT047",126.90398959443,287.761291503906,113290862.526924,0,0,0,0,0,0,0,0,0,0,0
"FT048",126.997066163131,369.224517822266,15288894.613525,0,0,0,0,0,0,0,0,0,0,0
"FT049",126.997101290998,392.303939819336,5349335.26284561,0,0,0,0,0,0,0,0,0,0,0
"FT050",128.031493037585,586.9755859375,4966936.6212702,0,0,0,0,0,0,0,0,0,0,0
"FT051",128.034295755081,373.833892822266,31172558.2275581,0,0,0,0,0,0,0,0,0,0,0
"FT052",128.891125540539,569.821166992188,887203256.102596,0,0,0,0,0,0,0,0,0,0,0
"FT053",129.059723291805,163.476135253906,35486631.3403095,0,0,0,0,0,0,0,0,0,0,0
"FT054",131.083433515111,391.041412353516,1157429.01526312,0,0,0,0,0,0,0,0,0,0,0
"FT055",132.866885293715,579.280334472656,16411324.1805972,0,0,0,0,0,0,0,0,0,0,0
"FT056",132.98333760956,488.754043579102,36128985.4343062,0,0,0,0,0,0,0,0,0,0,0
"FT057",133.013257892188,735.688903808594,6928233.28720572,0,0,0,0,0,0,0,0,0,0,0
"FT058",134.046219359847,227.579742431641,48209373.1779588,0,0,0,0,0,0,0,0,0,0,0
"FT059",134.046194975357,142.139633178711,41906990.8622681,0,0,0,0,0,0,0,0,0,0,0
"FT061",136.040315622504,229.303375244141,38225827.3463614,0,0,0,0,0,0,0,0,0,0,0
"FT062",136.876534365912,493.241943359375,11434201.1628938,0,0,0,0,0,0,0,0,0,0,0
"FT063",136.939087609435,822.771088339844,261020552.118593,0,0,0,0,0,0,0,0,0,0,0
"FT064",136.939076860604,820.651489257812,310534366.379471,0,0,0,0,0,0,0,0,0,0,0
