"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","adduct_type","M_area"
"FT029",4623,112.922069435127,112.922023773193,112.922088623047,578.684265136719,557.819122314453,591.563690185547,672656.939769936,NA,379539.75,NA,9,"190715_Poo_TruePooFK180310_Half3.mzML","N15",72459778.6810799
"FT029",4705,112.922083141844,112.922023773193,112.922088623047,569.304565429688,557.819122314453,591.563690185547,36399960.7570426,NA,5664862,NA,10,"190715_Smp_FK180310S62C1-25m_A.mzML","N15",79848334.2960091
"FT029",1087,112.922054476621,112.922027587891,112.922073364258,575.374938964844,561.161987304688,601.996704101562,84828730.2015541,83885224.2949466,5723052.5,81,11,"190715_Smp_FK180310S62C1-25m_B.mzML","N15",80681389.2444496
"FT029",1171,112.922039669481,112.92195892334,112.922073364258,569.058715820312,552.859985351562,589.777893066406,45412135.9196527,45251088.1304464,3039632,51,12,"190715_Smp_FK180310S62C1-25m_C.mzML","N15",46340535.8113575
"FT029",1253,112.922075766754,112.922004699707,112.92211151123,571.029602050781,556.040893554688,588.706970214844,35655102.4382972,35596967.5764935,2363066,75,13,"190715_Smp_FK180310S62C1-DCM_A.mzML","N15",35178687.9871483
"FT029",1338,112.922038385838,112.921997070312,112.922096252441,575.760070800781,557.912963867188,601.865478515625,24362833.9977305,24043463.8446837,1403423.5,49,14,"190715_Smp_FK180310S62C1-DCM_B.mzML","N15",24195200.3585377
"FT029",1406,112.922078505636,112.922027587891,112.92211151123,570.756042480469,555.354675292969,606.002197265625,81315123.4309345,80532401.8615157,5148673.5,60,15,"190715_Smp_FK180310S62C1-DCM_C.mzML","N15",78366175.5196037
"FT029",1499,112.922063570232,112.922027587891,112.922096252441,574.929565429688,558.753662109375,619.3251953125,81472381.6251629,81084429.80971,4482344,70,16,"190715_Smp_FK180310S64C1-25m_A.mzML","N15",78784914.9903793
"FT029",5322,112.922034544691,112.922023773193,112.922088623047,574.830017089844,557.819122314453,591.563690185547,5789653.73487007,NA,1231326.875,NA,17,"190715_Smp_FK180310S64C1-25m_B.mzML","N15",21032641.457056
"FT029",1642,112.922060542919,112.922027587891,112.922080993652,572.036499023438,558.19482421875,594.059936523438,80966270.2374931,80735094.5399326,5810780.5,71,18,"190715_Smp_FK180310S64C1-25m_C.mzML","N15",80559353.3305016
"FT029",1710,112.922094158169,112.922065734863,112.92212677002,571.580749511719,555.88330078125,589.174743652344,50254282.0345209,50153360.0522761,3314679.5,99,19,"190715_Smp_FK180310S64C1-DCM_A.mzML","N15",49566844.0787754
"FT029",1787,112.92209359661,112.922073364258,112.92212677002,576.129455566406,559.2734375,602.659118652344,99493755.3239571,98271054.420669,6172122.5,81,20,"190715_Smp_FK180310S64C1-DCM_B.mzML","N15",96423693.781559
"FT029",1857,112.92210259536,112.922073364258,112.922134399414,570.596862792969,554.218505859375,586.894775390625,63528362.6972531,63382417.3367324,3829300,51,21,"190715_Smp_FK180310S64C1-DCM_C.mzML","N15",62227805.5406456
"FT029",1921,112.922012645014,112.921989440918,112.922035217285,576.136047363281,557.725280761719,601.993469238281,105428044.377667,103943594.994568,6017961.5,83,22,"190715_Smp_FK180310S77C1-25m_A.mzML","N15",99240989.4993362
"FT029",2007,112.922060992695,112.922027587891,112.92211151123,575.381774902344,558.637390136719,606.058532714844,79935180.6244815,79720338.6946516,5037585,69,23,"190715_Smp_FK180310S77C1-25m_B.mzML","N15",79656529.5160103
"FT029",2073,112.922054897519,112.922027587891,112.922119140625,572.412353515625,559.630737304688,584.196716308594,74602762.0908793,74447864.2695619,5942928,79,24,"190715_Smp_FK180310S77C1-25m_C.mzML","N15",72034111.9215164
"FT029",2148,112.922061743743,112.922019958496,112.922096252441,567.441650390625,552.001770019531,581.873657226562,34283844.7892838,34119991.0158903,2259009.25,49,25,"190715_Smp_FK180310S77C1-DCM_A.mzML","N15",35310280.95788
"FT029",2214,112.922039130177,112.921981811523,112.922065734863,572.414428710938,555.782470703125,590.848693847656,30041120.8302649,29758467.8219582,1998397.5,62,26,"190715_Smp_FK180310S77C1-DCM_B.mzML","N15",31362214.1041164
"FT029",2286,112.922037133594,112.922012329102,112.922080993652,573.405578613281,557.92333984375,597.915954589844,88389919.3960178,87932358.2294288,5853355,62,27,"190715_Smp_FK180310S77C1-DCM_C.mzML","N15",87204124.3346672
"FT029",2360,112.922019792748,112.921997070312,112.922050476074,574.329528808594,558.834655761719,589.658569335938,90348144.9580037,89686837.7814113,6252806.5,119,28,"190715_Smp_FK180310S80C1-25m_A.mzML","N15",87998258.8237343
"FT029",2435,112.922036381157,112.921997070312,112.922073364258,569.821166992188,554.765502929688,591.25634765625,48779183.6828768,48731916.1894123,3417453.5,39,29,"190715_Smp_FK180310S80C1-25m_B.mzML","N15",48369027.6232967
"FT029",2513,112.922058462646,112.92204284668,112.922088623047,570.786010742188,559.981201171875,585.295959472656,64860897.2241893,64499205.9385378,5034218,58,30,"190715_Smp_FK180310S80C1-25m_C.mzML","N15",63083133.1124153
"FT029",2580,112.922034309659,112.921997070312,112.922065734863,573.754577636719,556.295532226562,597.415405273438,71274162.8780743,70727941.8444707,4560445,80,31,"190715_Smp_FK180310S80C1-DCM_A.mzML","N15",70327415.3204193
"FT029",6651,112.922054637648,112.922023773193,112.922088623047,575.43701171875,557.819122314453,591.563690185547,70838504.7319397,NA,4859431,NA,32,"190715_Smp_FK180310S80C1-DCM_B.mzML","N15",71781659.4299622
"FT029",2727,112.922060067838,112.922035217285,112.922088623047,567.683837890625,552.93310546875,589.560180664062,75200732.1778532,75200695.5911012,4833846,39,33,"190715_Smp_FK180310S80C1-DCM_C.mzML","N15",74693959.0093536
"FT029",6881,112.922048084563,112.922023773193,112.922088623047,564.397338867188,557.819122314453,591.563690185547,48154887.9126815,NA,3622492.75,NA,36,"190715_Std_4uMStdsMix1InMatrix_1.mzML","N15",60154052.1008568
"FT029",6957,112.92203071083,112.922023773193,112.922088623047,563.221069335938,557.819122314453,591.563690185547,24190779.1389808,NA,5418546,NA,37,"190715_Std_4uMStdsMix1InMatrix_2.mzML","N15",79233385.0738106
"FT029",7097,112.922048895988,112.922023773193,112.922088623047,559.251220703125,557.819122314453,591.563690185547,22092105.2733698,NA,3395625.5,NA,40,"190715_Std_4uMStdsMix2InMatrix_1.mzML","N15",25620192.2070122
"FT029",3693,112.92199125487,112.921966552734,112.922027587891,559.987609863281,514.768432617188,582.396728515625,146491025.707104,146380809.365148,5361146,74,41,"190715_Std_4uMStdsMix2InMatrix_2.mzML","N15",152671628.743904
"FT029",7244,112.922079270925,112.922023773193,112.922088623047,558.049133300781,557.819122314453,591.563690185547,32063722.5906241,NA,4360818.5,NA,42,"190715_Std_H2OinMatrix_1.mzML","N15",66642822.6830597
"FT029",3906,112.922023356048,112.921997070312,112.922088623047,563.599548339844,518.455139160156,588.414306640625,134665817.243878,134665753.581272,5008287,41,43,"190715_Std_H2OinMatrix_2.mzML","N15",146654324.934761
"FT031",3974,114.919267273388,114.919204711914,114.919296264648,574.72412109375,557.863708496094,590.054382324219,8802631.54416007,NA,525513.625,NA,1,"170706_Blk_Blk0p2_1.mzML","N15",8456248.70193624
"FT031",4033,114.919288635254,114.919204711914,114.919296264648,584.303527832031,557.863708496094,590.054382324219,27805.1269585447,NA,35414.30078125,NA,2,"170706_Blk_Blk0p2_2.mzML","N15",6456595.14701366
"FT031",4097,114.919250493259,114.919204711914,114.919296264648,567.930603027344,557.863708496094,590.054382324219,14568072.5114037,NA,1237985.125,NA,3,"190715_Blk_KM1906U14-Blk_C.mzML","N15",13962917.2666082
"FT031",602,114.919235492835,114.919204711914,114.919387817383,573.663879394531,561.6015625,590.054382324219,13503211.2163232,13308876.5492407,1148155.5,63,4,"190715_Poo_TruePooFK180310_Full1.mzML","N15",13382616.3802094
"FT031",4262,114.919262824083,114.919204711914,114.919296264648,572.867982,557.863708496094,590.054382324219,15879309.814022,NA,1185010,NA,5,"190715_Poo_TruePooFK180310_Full2.mzML","N15",15911216.5610037
"FT031",748,114.919345453783,114.919319152832,114.919387817383,574.878662109375,561.468688964844,591.871032714844,19774933.7677373,19343083.3148249,1401366,82,6,"190715_Poo_TruePooFK180310_Full3.mzML","N15",18971465.8604155
"FT031",4440,114.919236330182,114.919204711914,114.919296264648,567.142456054688,557.863708496094,590.054382324219,10318726.3014234,NA,798633.5625,NA,7,"190715_Poo_TruePooFK180310_Half1.mzML","N15",12903954.3663807
"FT031",4539,114.919257968839,114.919204711914,114.919296264648,559.832641601562,557.863708496094,590.054382324219,7458788.36535644,NA,856087.25,NA,8,"190715_Poo_TruePooFK180310_Half2.mzML","N15",9500406.32571507
"FT031",4624,114.919242858887,114.919204711914,114.919296264648,578.684265136719,557.863708496094,590.054382324219,47625.4214273341,NA,50302.28125,NA,9,"190715_Poo_TruePooFK180310_Half3.mzML","N15",15909634.8490305
"FT031",4706,114.919286316989,114.919204711914,114.919296264648,565.654113769531,557.863708496094,590.054382324219,14374994.5206272,NA,1304900.375,NA,10,"190715_Smp_FK180310S62C1-25m_A.mzML","N15",17530691.4700794
"FT031",1088,114.919256677311,114.919204711914,114.919296264648,575.374938964844,562.074645996094,594.874572753906,18269882.9768695,17857931.050818,1285095.375,48,11,"190715_Smp_FK180310S62C1-25m_B.mzML","N15",17336821.8477497
"FT031",4885,114.919237749844,114.919204711914,114.919296264648,571.892150878906,557.863708496094,590.054382324219,6004116.26290477,NA,739971.625,NA,12,"190715_Smp_FK180310S62C1-25m_C.mzML","N15",8858575.54189157
"FT031",4975,114.919271913432,114.919204711914,114.919296264648,571.029602050781,557.863708496094,590.054382324219,5915059.56391609,NA,603617.625,NA,13,"190715_Smp_FK180310S62C1-DCM_A.mzML","N15",7597753.28590727
"FT031",5067,114.919252253099,114.919204711914,114.919296264648,577.610229492188,557.863708496094,590.054382324219,3836485.54977826,NA,327111.34375,NA,14,"190715_Smp_FK180310S62C1-DCM_B.mzML","N15",5061160.83471417
"FT031",1405,114.919289883263,114.919250488281,114.919334411621,570.756042480469,555.354675292969,587.093933105469,17600510.8701208,17513422.6040069,1202094.625,57,15,"190715_Smp_FK180310S62C1-DCM_C.mzML","N15",16853771.114378
"FT031",1493,114.919272511832,114.919212341309,114.919311523438,574.929565429688,557.863708496094,595.741394042969,16394025.2870522,16090109.5909485,986338.8125,62,16,"190715_Smp_FK180310S64C1-25m_A.mzML","N15",15796869.5436201
"FT031",5324,114.91925135334,114.919204711914,114.919296264648,576.756591796875,557.863708496094,590.054382324219,3311080.54157889,NA,287169.125,NA,17,"190715_Smp_FK180310S64C1-25m_B.mzML","N15",4600305.44460845
"FT031",5416,114.919263815769,114.919204711914,114.919296264648,572.971557617188,557.863708496094,590.054382324219,18054300.4882211,NA,1379878.625,NA,18,"190715_Smp_FK180310S64C1-25m_C.mzML","N15",18113350.4016838
"FT031",5506,114.919283930206,114.919204711914,114.919296264648,573.440185546875,557.863708496094,590.054382324219,3972222.76265231,NA,690436.25,NA,19,"190715_Smp_FK180310S64C1-DCM_A.mzML","N15",10114061.4457664
"FT031",1786,114.91929911171,114.919258117676,114.91934967041,576.129455566406,559.2734375,596.467712402344,21668491.9870891,20916257.9205961,1390039,88,20,"190715_Smp_FK180310S64C1-DCM_B.mzML","N15",20974841.2851791
"FT031",5679,114.919276681324,114.919204711914,114.919296264648,574.224365234375,557.863708496094,590.054382324219,6936119.63747541,NA,812976.3125,NA,21,"190715_Smp_FK180310S64C1-DCM_C.mzML","N15",12020568.237247
"FT031",1930,114.919212828394,114.91918182373,114.919242858887,576.136047363281,560.340515136719,593.061584472656,22053249.6487619,21008289.5218073,1437452.75,66,22,"190715_Smp_FK180310S77C1-25m_A.mzML","N15",20669560.8988562
"FT031",5852,114.919257863901,114.919204711914,114.919296264648,575.381774902344,557.863708496094,590.054382324219,16852485.9874786,NA,1166556.125,NA,23,"190715_Smp_FK180310S77C1-25m_B.mzML","N15",17213619.0763073
"FT031",2067,114.919249243005,114.919212341309,114.919273376465,572.412353515625,557.785278320312,586.069885253906,17111769.0912269,16922403.9601188,1417227.25,28,24,"190715_Smp_FK180310S77C1-25m_C.mzML","N15",16814304.9661236
