"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","M_area","C13_match","C13_area","X2C13_match","X2C13_area","S34_match","S34_area","S33_match","S33_area","N15_match","N15_area","O18_match","O18_area","Na_match","Na_area","NH4_match","NH4_area","H2O_H_match","H2O_H_area","K_match","K_area","X2H_match","X2H_area","BMIS","BMISed_area"
"FT107",5287,212.074761114414,212.074722290039,212.074829101562,93.8044586181641,88.3213157653809,119.762363433838,579543292.649358,NA,32890104,NA,18,"190715_Smp_FK180310S64C1-25m_C.mzML",561145762.122478,0.975038406096138,57008556.3524933,0.921171354575256,2572685.34666926,0.924270946219837,23022204.3474634,0,0,0,0,0.635391741372973,1963269.47443874,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",470268097.371802
"FT107",1677,212.074794437733,212.074737548828,212.074890136719,98.3743438720703,86.605583190918,145.579635620117,847730919.516268,319488417.967245,30004534,41,19,"190715_Smp_FK180310S64C1-DCM_A.mzML",811955170.060074,0.97749857965075,83465350.9889307,0.439117325138296,4158432.77649406,0.936236963535713,33164107.2396388,0,0,0.399079463428115,4994516.1610325,0.732803406296015,3107933.94725084,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",658374657.107258
"FT107",1741,212.074830515536,212.074798583984,212.074935913086,96.6022796630859,87.4342498779297,127.098388671875,532030201.440197,309738385.681976,30389070,29,20,"190715_Smp_FK180310S64C1-DCM_B.mzML",523177255.248203,0.986368354641568,55606286.6071906,0.60927886132656,2095806.28176621,0.966138604714019,21373668.5822237,0,0,0.740654656627274,2667246.78642872,0.470353487132482,1569280.78999744,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",476119229.13805
"FT107",1820,212.074785574318,212.074737548828,212.074844360352,96.5905227661133,89.1901321411133,104.119110107422,273813099.703554,181411444.883297,26899878,47,21,"190715_Smp_FK180310S64C1-DCM_C.mzML",260656175.376255,0.981962890303547,27322800.4081607,0.552614943660341,923500.222509146,0.956130957049877,10882274.8842868,0,0,0,0,0.387883173669213,721845.845544338,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",196479267.074405
"FT107",5595,212.074738470916,212.074722290039,212.074829101562,105.058303833008,88.3213157653809,119.762363433838,59626090.4522778,NA,11438877,NA,22,"190715_Smp_FK180310S77C1-25m_A.mzML",277020763.944473,0.905917614044699,28355668.8011799,0,0,0.79128166260005,11511736.789649,0.277174390084862,1282920.19813949,0.509590292496738,1037083.39343095,0,0,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",370539630.660737
"FT107",5669,212.074739883622,212.074722290039,212.074829101562,118.109405517578,88.3213157653809,119.762363433838,132929169.192933,NA,11854976,NA,23,"190715_Smp_FK180310S77C1-25m_B.mzML",293947048.651627,0.441324035169374,30241708.2088559,0,0,0.19008605150726,12213911.5408101,0,0,0.0536397406255994,2464624.49396461,0,0,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",658010776.46551
"FT107",2040,212.074748589709,212.07470703125,212.074829101562,95.7534027099609,86.51171875,120.377571105957,552953622.974808,259971492.974047,32342516,36,24,"190715_Smp_FK180310S77C1-25m_C.mzML",518569731.517197,0.977270048711207,52695865.0684395,0.610826003946192,2072080.42991132,0.95695171533369,21786360.0102255,0.902612455828251,2091832.08812964,0,0,0.751536578883449,1728626.79268619,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",473826445.589239
"FT107",5823,212.074773754288,212.074722290039,212.074829101562,115.115791320801,88.3213157653809,119.762363433838,345976766.431758,NA,13178500,NA,25,"190715_Smp_FK180310S77C1-DCM_A.mzML",336824430.131454,0.779534984100292,34987390.1580067,-0.0559563007476804,1351623.09289169,0.667434285103313,13646238.8847201,0,0,0.455640844035065,2609759.41875994,0.751381760274874,2309888.65463752,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",442396469.310629
"FT107",5908,212.074758958149,212.074722290039,212.074829101562,95.6799468994141,88.3213157653809,119.762363433838,340971473.864058,NA,12927110,NA,26,"190715_Smp_FK180310S77C1-DCM_B.mzML",338041042.202316,0.668812133567298,34993135.2506571,-0.651036384590852,1440379.72708926,0.667869523752369,13378535.0181539,0,0,-0.0818537228350066,1929895.385342,0.292204060556708,1920864.66520958,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",329720719.929171
"FT107",2236,212.074725280468,212.074691772461,212.074798583984,99.4609222412109,91.140739440918,132.541870117188,567382556.199585,312881765.500627,29806958,34,27,"190715_Smp_FK180310S77C1-DCM_C.mzML",560087193.47739,0.986622003170512,59239444.2804065,0.884289948754412,1169433.08088425,0.953422263557484,23456796.5624983,0,0,0.799754023928511,2659756.17663896,0.667374153648028,1331941.13403791,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",633154591.656111
