"chemical_ID","score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","Name","Formula","MonoisotopicMass","Adduct","ISgroup","mean_int_vec","MD"
"HMDB33663",0,"4_1",148.0605,620.1,"Multiple","148.0599","Decarbamoylneosaxitoxin","C9H16N6O4","272.12330303","M+H+Na","ISgroup_4_23_7",1760828.4,0.06
"HMDB33664",0,"17_1",106.0503,626.4,"Multiple","106.05031","N-Hydroxysaxitoxin","C10H17N7O5","315.129116689","M+3H","ISgroup_17_24_6",2687297.3,0.05
"HMDB33664",0,"7_1",357.16554,499.9,"Multiple","357.16294","N-Hydroxysaxitoxin","C10H17N7O5","315.129116689","M+ACN+H","ISgroup_7_11_17",1419202.1,0.166
"HMDB33667",0,"17_1",176.10311,644.7,"Multiple","176.10458","(R)-3-Methylcyclohexanone","C7H12O","112.088815006","M+ACN+Na","ISgroup_17_25_11",4785621.3,0.103
"HMDB33673",0,"7_1",275.07137,591.4,"Multiple","275.07374","6-Kestose","C18H32O16","504.169034976","M+2Na","ISgroup_7_12_8",3138089,0.071
"HMDB33675",0,"6_1",151.09656,135.6,"Multiple","151.09715","L-Lysopine","C9H18N2O4","218.126657074","M+2ACN+2H","ISgroup_6_1_10",13711266.1,0.097
"HMDB33675",0,"10_1",201.12344,558.3,"Multiple","201.12396","L-Lysopine","C9H18N2O4","218.126657074","M+H-H2O","ISgroup_10_26_13",584626.6,0.123
"HMDB33676",0,"16_1",147.07646,599.1,"Multiple","147.07563","()-3-Methyl-1-pentanol","C6H14O","102.10446507","M+2Na-H","ISgroup_16_12_8",75809094.2,0.076
"HMDB33693",0,"7_1",163.11583,403.3,"Multiple","163.11736","Falcarinone","C17H22O","242.167065326","M+2ACN+2H","ISgroup_7_11_12",10571668.2,0.116
"HMDB33693",0,"17_1",163.11583,493.3,"Multiple","163.11736","Falcarinone","C17H22O","242.167065326","M+2ACN+2H","ISgroup_17_16_12",9776803.9,0.116
"HMDB33698",9,"2_1",131.0704,496.2,"Multiple","131.07027","Acetoin acetate","C6H10O3","130.062994186","M+H","ISgroup_2_21_8",6485799.3,0.07
"HMDB33698",9,"18_1",131.07037,460.5,"Multiple","131.07027","Acetoin acetate","C6H10O3","130.062994186","M+H","ISgroup_18_25_8",7495198.4,0.07
"HMDB33699",0,"7_1",289.13933,537.3,"Multiple","289.13941","Linamarin","C10H17NO6","247.105587281","M+ACN+H","ISgroup_7_12_14",5861064.3,0.139
"HMDB33701",0,"2_1",244.0929,391.3,"Multiple","244.09441","Hydrocotarnine","C12H15NO3","221.105193351","2M+2Na","ISgroup_2_17_10",12122232.4,0.093
"HMDB33701",0,"2_1",244.0929,391.3,"Multiple","244.09441","Hydrocotarnine","C12H15NO3","221.105193351","M+Na","ISgroup_2_17_10",12122232.4,0.093
"HMDB33701",0,"7_1",252.08296,651.2,"Multiple","252.08138","Hydrocotarnine","C12H15NO3","221.105193351","2M+Na+K","ISgroup_7_13_9",1548457.7,0.083
"HMDB33702",0,"13_1",136.05071,359.6,"Multiple","136.05188","Pinostrobin chalcone","C16H14O4","270.089208936","M+2H","ISgroup_13_2_6",4029238.6,0.051
"HMDB33702",0,"7_1",136.05083,493.5,"Multiple","136.05188","Pinostrobin chalcone","C16H14O4","270.089208936","M+2H","ISgroup_7_11_6",55716836.9,0.051
