"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT359",212.164552552469,115.510604858398,"Adenine, 15N2",1952312.03073262
"FT360",214.064557896331,195.911987304688,"DL-Valine, D8",4888311.8831575
"FT361",218.138675773425,252.740646362305,"Betaine, 13C5-15N",111472024.411685
"FT362",223.063618069882,441.278779900391,"Betaine, 13C5-15N",1354602.88058503
"FT363",223.063521145059,493.178985595703,"Adenine, 15N2",1436406.39603797
"FT364",225.079254874253,380.418014526368,"Arsenobetaine, 13C2",3395511.11111991
"FT365",225.079245148198,453.358764648438,"Betaine, 13C5-15N",1870872.02074666
"FT366",225.982531164767,449.231292724609,"Cytosine, 13C2-15N3",36481789.7280769
"FT367",226.04744848964,684.972045898438,"None",350918.440213697
"FT369",227.08165919955,685.155029296875,"Arsenobetaine, 13C2",1429681.01909993
"FT372",228.097964739119,288.349472045898,"Cytosine, 13C2-15N3",3425560.38153913
"FT375",233.08949819512,322.993270874023,"Cytosine, 13C2-15N3",2345415.5328439
"FT376",233.914905256541,178.097183227539,"Cytosine, 13C2-15N3",74624689.1442699
"FT377",234.918017679854,178.03547668457,"DL-Histidine, 15N",14793811.1016927
"FT378",235.91308891448,178.970901489258,"Cytosine, 13C2-15N3",71484730.823485
"FT379",236.149344396751,407.568336,"Adenine, 15N2",63211628.4930683
"FT380",236.149278849493,516.235473632812,"DL-Histidine, 15N",49427141.0094709
"FT381",236.916311119501,178.093124389648,"DL-Histidine, 15N",5548936.63294997
"FT382",237.911170674477,178.833282470703,"DL-Histidine, 15N",26565419.3180469
"FT383",238.123020906277,574.56884765625,"Arsenobetaine, 13C2",77170.0299119683
"FT384",239.148994837721,117.310005187988,"Adenine, 15N2",6827489.31156275
"FT385",239.17546081543,151.470001220703,"DL-Histidine, 15N",16295614.8106297
"FT386",242.222697503705,498.170043945312,"Adenine, 15N2",1982289.02090585
"FT387",243.182996830606,94.6585540771484,"DL-Histidine, 15N",303182.4084641
"FT388",244.092905862584,387.643737792969,"Cytosine, 13C2-15N3",11200232.1998497
"FT389",244.190878051473,109.15308,"Guanine, 13C-15N2",4517218.81668307
"FT390",244.934676295257,1225.60418701172,"None",5645809.11332405
"FT391",245.113262065784,566.379699707031,"DL-Histidine, 15N",67633983.7296078
"FT392",246.097366333008,454.141143798828,"Adenine, 15N2",15074158.8448818
"FT393",246.097290631154,512.869873046875,"DL-Proline, D7",13979322.8300594
"FT396",251.185505885792,100.628684997559,"None",330340.665985994
"FT397",252.082997478819,645.902465820312,"Arsenobetaine, 13C2",1530174.83347156
"FT398",252.109169865558,175.71588897705,"DL-Valine, D8",125587252.016469
"FT399",252.14415563031,551.123870849609,"DL-Histidine, 15N",62848379.8256003
"FT400",253.112447962101,179.64769744873,"Adenine, 15N2",37409774.3475819
"FT402",255.107365498759,518.433258056641,"None",901501.160047169
"FT404",257.932885012466,1043.89965820313,"DL-Histidine, 15N",1345560.15652694
"FT405",257.989632304659,574.388305664062,"Betaine, 13C5-15N",2207099.76401077
"FT406",258.110224713389,575.203521728516,"DL-Histidine, 15N",126226920.256049
"FT407",259.030639711574,644.904235839844,"None",1116321.27036554
"FT408",259.128944301993,525.029235839844,"Adenine, 15N2",2728200.40817139
"FT409",259.986953033522,575.5830078125,"Arsenobetaine, 13C2",1497745.49572664
"FT410",260.113023494372,144.769683837891,"Cytosine, 13C2-15N3",11580137.1354816
"FT411",267.061537758181,685.254821777344,"DL-Valine, D8",376111.925220248
"FT412",268.104106270316,211.622772216797,"Cytosine, 13C2-15N3",156245391.706985
"FT413",269.088068500377,356.232482910156,"Guanine, 13C-15N2",11339051.7105568
