"feature","mzmed","rtmed","avgarea","formula"
"FT0143",102.128135375275,341.23583984375,4695607.09144412,"C6H15N"
"FT0144",103.039396221848,723.364379882812,547151.893880806,"C4H6O3"
"FT0145",103.050776201167,558.748718261719,2670089.76055283,"C3H6N2O2"
"FT0146",103.054640375567,261.424133300781,2257470.02135128,"C8H6"
"FT0147",103.0546350304,197.982391357422,2314562.16293593,"C4H9NP; C8H6"
"FT0148",103.087012702833,558.612609863281,2352055.10253802,"C4H10N2O"
"FT0149",103.955912761242,183.53751373291,4034262.20907265,""
"FT0150",104.053245544434,376.036529541016,2245656.06162181,"C4H9NS"
"FT0151",104.071036757742,613.821838378906,36121729.4880302,"C4H9NO2"
"FT0152",104.070976278548,415.500854492188,191734961.720957,"C4H9NO2"
"FT0153",104.082268635976,565.937255859375,442614.807106951,"C3H9N3O; C5H11O2"
"FT0154",104.107391452217,552.233795166016,127471447.237622,"C5H13NO"
"FT0155",104.107399007393,663.327056884766,58465291.581988,"C5H13NO"
"FT0156",105.055023278158,569.621948242188,1798430.78610726,"C4H8O3"
"FT0157",105.054993458237,529.873901367188,2187532.10778015,"C4H8O3"
"FT0158",105.068005345741,412.05810546875,1270155.05510869,""
"FT0159",105.07432139931,412.548858642578,5100045.81264955,"C5H12S"
"FT0160",105.074358767257,614.085388183594,1483277.23315219,""
"FT0161",105.104429030202,552.128356933594,339890.995470942,""
"FT0162",105.104451796706,630.930541992188,1052620.09717288,""
"FT0165",105.954089107362,184.811134338379,2032511.60603453,""
"FT0166",106.050297490383,623.438354492188,2726644.77494929,"C3H7NO3"
"FT0168",106.08666605181,463.568817138672,8554175.1153684,"C4H11NO2"
"FT0169",106.086667500906,331.182434082031,6887251.94369155,"C4H11NO2"
"FT0170",106.111611348928,552.16748046875,180776.872872497,""
"FT0171",107.060702806258,670.763641357422,455558.103073461,"C6H6N2"
"FT0172",107.967221599573,280.32014465332,881487.611082534,"CH2NOPS"
"FT0173",108.044764131423,259.307434082031,1057512.87908548,"C6H5NO"
"FT0174",108.055997484686,266.095016479493,1259842.57473051,"C5H5N3; C7H7O"
"FT0175",109.039999270555,266.568969726562,1230850.57400128,"C5H4N2O"
"FT0176",109.07638522472,557.833984375,1103279.62825845,"C6H8N2"
"FT0177",109.076390481595,436.983764648438,2828666.14002328,"C6H8N2"
"FT0178",110.027403086976,593.384033203125,842771.111482161,"C2H7NO2S; C6H6P; C2H9NP2"
"FT0179",110.0352510508,401.883229445313,1115083.53881697,"C4H3N3O; C6H5O2"
"FT0180",110.035201833788,288.423782348632,721535.832558523,"C4H3N3O; C6H5O2"
"FT0181",110.071627808562,580.601013183594,8298005.13945205,"C5H7N3; C7H9O"
"FT0182",111.068698337304,580.705871582031,5754034.46496961,"C6H8NO"
"FT0183",112.039671425247,669.050140380859,1101041.08686576,"C5H5NO2"
"FT0184",112.050892389643,324.596160888672,137459717.320282,"C4H5N3O"
"FT0185",112.050904008306,388.259887695312,28565648.6375731,"C4H5N3O"
"FT0186",112.050888285215,289.527221679688,24627295.8751641,"C4H5N3O"
"FT0187",112.062073038819,231.307418823242,653204.972011572,"C3H5N5; C5H7N2O"
"FT0188",113.047939729903,324.029937744141,2066109.79660711,"C5H6NO2"
"FT0192",113.054201489249,389.549285888672,1430178.03561559,""
"FT0193",113.060059491553,104.751815795898,15973821.1919011,"C6H8O2"
"FT0194",113.071272740449,642.361328125,1559497.26576926,"C5H8N2O"
"FT0195",113.107694116645,349.285369873047,6557927.47344281,"C6H12N2"
"FT0196",113.964006501877,1295.28540039062,404265.098602896,""
"FT0197",114.05530796908,581.83203125,620867.156717958,"C5H7NO2"
"FT0198",114.055216855857,339.076507568359,1917220.70880598,"C5H7NO2"
"FT0199",114.066502408439,243.364624023438,5128815.43875399,"C4H7N3O; C6H9O2"
"FT0200",114.066472620092,579.487609863281,1426445.04994906,"C4H7N3O; C6H9O2"
"FT0201",114.091673392077,124.801765441895,9300145.85195666,"C6H11NO"
"FT0202",114.10289639825,558.601698,556332.447384747,"C5H11N3; C7H13O"
"FT0203",114.986894193358,449.140747070312,920586.651981857,"H2O7; C4H4P2"
"FT0204",115.039267561063,144.065307617188,364191.414151984,"C5H6O3"
"FT0205",115.075644821056,132.544296264648,18806296.3726631,"C6H10O2"
