"feature","mz","rt","into","file_name","M_area","BMIS","BMISed_area"
"FT001",60.0581855773926,574.415405273438,14251.8484887752,"190715_Std_H2OinMatrix_1.mzML",51820.9885497093,"None",51820.9885497093
"FT001",60.0581676684185,564.456115722656,556256.723411397,"190715_Std_H2OinMatrix_2.mzML",716164.028415799,"None",716164.028415799
"FT002",60.0644755418063,571.647705078125,2060248.27561768,"190715_Blk_KM1906U14-Blk_C.mzML",3123156.17929375,"None",3123156.17929375
"FT002",60.0644806224712,561.365600585938,7943488.05730401,"190715_Poo_TruePooFK180310_Full1.mzML",7768740.02758121,"None",7768740.02758121
"FT002",60.0645012640348,562.295178,8529995.71427502,"190715_Poo_TruePooFK180310_Full2.mzML",8169318.07443571,"None",8169318.07443571
"FT002",60.0645120848885,562.212463378906,11403238.3400477,"190715_Poo_TruePooFK180310_Full3.mzML",10639798.506062,"None",10639798.506062
"FT002",60.0645015545608,566.044616699219,1865632.12483442,"190715_Poo_TruePooFK180310_Half1.mzML",3209451.30440354,"None",3209451.30440354
"FT002",60.0644908082403,574.739074707031,1841966.39946508,"190715_Poo_TruePooFK180310_Half2.mzML",2011853.48330438,"None",2011853.48330438
"FT002",60.0644959695858,569.8095703125,3178113.88149256,"190715_Poo_TruePooFK180310_Half3.mzML",3195989.94824219,"None",3195989.94824219
"FT002",60.0645082666639,572.445251464844,9279855.83552452,"190715_Smp_FK180310S62C1-25m_A.mzML",7957508.44840908,"None",7957508.44840908
"FT002",60.0644780969093,561.3876953125,9910681.88452743,"190715_Smp_FK180310S62C1-25m_B.mzML",9496533.1672287,"None",9496533.1672287
"FT002",60.0645009491849,565.304748535156,9286793.66913065,"190715_Smp_FK180310S62C1-25m_C.mzML",9261865.50659895,"None",9261865.50659895
"FT002",60.0645141601562,555.172912597656,90586.5380170603,"190715_Smp_FK180310S62C1-DCM_A.mzML",8737352.64560175,"None",8737352.64560175
"FT002",60.0644991476447,553.035888671875,3225891.66461896,"190715_Smp_FK180310S62C1-DCM_B.mzML",2656489.85745919,"None",2656489.85745919
"FT002",60.0644473510535,565.903198242188,14272117.377608,"190715_Smp_FK180310S62C1-DCM_C.mzML",13793374.4433756,"None",13793374.4433756
"FT002",60.0644592987623,559.357666015625,9612884.39674793,"190715_Smp_FK180310S64C1-25m_A.mzML",8945986.12183189,"None",8945986.12183189
"FT002",60.0644882025535,558.300659179688,8672964.29518315,"190715_Smp_FK180310S64C1-25m_B.mzML",8467445.01126432,"None",8467445.01126432
"FT002",60.0645091248282,559.81689453125,4171781.85069114,"190715_Smp_FK180310S64C1-25m_C.mzML",7272524.62413025,"None",7272524.62413025
"FT002",60.0645099390891,562.396484375,8112413.92181749,"190715_Smp_FK180310S64C1-DCM_A.mzML",7734464.81797647,"None",7734464.81797647
"FT002",60.0644945325944,558.564208984375,9856262.32198719,"190715_Smp_FK180310S64C1-DCM_B.mzML",9764717.84831619,"None",9764717.84831619
"FT002",60.0644762403638,568.725830078125,12467510.5874347,"190715_Smp_FK180310S64C1-DCM_C.mzML",12313180.5499506,"None",12313180.5499506
"FT002",60.0644755073788,554.909240722656,769491.411818639,"190715_Smp_FK180310S77C1-25m_A.mzML",9077142.28229046,"None",9077142.28229046
"FT002",60.0644755800133,555.445373535156,4307956.63395504,"190715_Smp_FK180310S77C1-25m_B.mzML",5521873.31654692,"None",5521873.31654692
"FT002",60.064483462592,561.294677734375,7927678.05457809,"190715_Smp_FK180310S77C1-25m_C.mzML",7748057.1916151,"None",7748057.1916151
"FT002",60.0644947359839,564.991882324219,7631230.5034251,"190715_Smp_FK180310S77C1-DCM_A.mzML",7368005.66978598,"None",7368005.66978598
"FT002",60.0644878094138,560.444458007812,9347385.72899245,"190715_Smp_FK180310S77C1-DCM_B.mzML",8365016.8766861,"None",8365016.8766861
"FT002",60.0644457112655,563.916870117188,12066131.7372479,"190715_Smp_FK180310S77C1-DCM_C.mzML",11234576.4315939,"None",11234576.4315939
"FT002",60.0644521693959,560.302978515625,9626337.81783438,"190715_Smp_FK180310S80C1-25m_A.mzML",9228566.54576302,"None",9228566.54576302
