"feature","mz","rt","into","file_name","M_area","BMIS","BMISed_area"
"FT366",214.0645,191.2874,516441.2,"190715_Poo_TruePooFK180310_Half2.mzML",1122785,"DL-Valine, 2H8",1330314.21635013
"FT366",214.0646,208.8556,487680.4,"190715_Poo_TruePooFK180310_Half3.mzML",975486.3,"DL-Valine, 2H8",918843.974149206
"FT366",214.0646,200.2839,10274826,"190715_Smp_FK180310S62C1-25m_A.mzML",10087412,"DL-Valine, 2H8",11583121.4948465
"FT366",214.0646,199.1808,20212377,"190715_Smp_FK180310S62C1-25m_B.mzML",19535879,"DL-Valine, 2H8",16789319.332651
"FT366",214.0645,204.8822,11997707,"190715_Smp_FK180310S62C1-25m_C.mzML",9661949,"DL-Valine, 2H8",8409360.14916053
"FT366",214.0645,198.9494,15173.73,"190715_Smp_FK180310S62C1-DCM_A.mzML",119289.6,"DL-Valine, 2H8",97952.4077927548
"FT366",214.0646,197.6311,6299331,"190715_Smp_FK180310S62C1-DCM_B.mzML",6134611,"DL-Valine, 2H8",3629717.48726825
"FT366",214.0645,200.4498,1551066,"190715_Smp_FK180310S62C1-DCM_C.mzML",2419549,"DL-Valine, 2H8",2249457.62571076
"FT366",214.0645,198.6646,8954513,"190715_Smp_FK180310S64C1-25m_A.mzML",8902183,"DL-Valine, 2H8",7328791.30992368
"FT366",214.0645,199.3966,3193773,"190715_Smp_FK180310S64C1-25m_B.mzML",3817181,"DL-Valine, 2H8",3996283.15804268
"FT366",214.0646,201.6725,18087729,"190715_Smp_FK180310S64C1-25m_C.mzML",17744194,"DL-Valine, 2H8",17246525.9656045
"FT366",214.0646,204.3515,373881.9,"190715_Smp_FK180310S64C1-DCM_A.mzML",864077.3,"DL-Valine, 2H8",843097.533828148
"FT366",214.0646,209.7432,3079878,"190715_Smp_FK180310S64C1-DCM_B.mzML",2947760,"DL-Valine, 2H8",2585241.66179601
"FT366",214.0645,199.4477,452418.4,"190715_Smp_FK180310S64C1-DCM_C.mzML",1288714,"DL-Valine, 2H8",997429.715041821
"FT366",214.0644,198.5231,11843259,"190715_Smp_FK180310S77C1-25m_A.mzML",11681354,"DL-Valine, 2H8",11691760.0737524
"FT366",214.0646,195.9697,5384175,"190715_Smp_FK180310S77C1-25m_B.mzML",5371383,"DL-Valine, 2H8",6978069.26824282
"FT366",214.0645,197.7192,4676981,"190715_Smp_FK180310S77C1-25m_C.mzML",4674537,"DL-Valine, 2H8",4831641.89400623
"FT366",214.0646,198.6299,110646.2,"190715_Smp_FK180310S77C1-DCM_A.mzML",473236.9,"DL-Valine, 2H8",409142.800426232
"FT366",214.0646,197.9418,1963665,"190715_Smp_FK180310S77C1-DCM_B.mzML",1906011,"DL-Valine, 2H8",1793945.94189244
"FT366",214.0645,205.2447,2283568,"190715_Smp_FK180310S77C1-DCM_C.mzML",3186826,"DL-Valine, 2H8",2807631.70739376
"FT366",214.0645,204.2333,9818475,"190715_Smp_FK180310S80C1-25m_A.mzML",6785551,"DL-Valine, 2H8",6666702.19761832
"FT366",214.0646,196.5954,8306196,"190715_Smp_FK180310S80C1-25m_B.mzML",8098460,"DL-Valine, 2H8",6236903.75174487
"FT366",214.0646,200.9248,8847761,"190715_Smp_FK180310S80C1-25m_C.mzML",8503805,"DL-Valine, 2H8",8004360.41187703
"FT366",214.0646,192.2501,1058483,"190715_Smp_FK180310S80C1-DCM_A.mzML",1935828,"DL-Valine, 2H8",2168892.14207059
"FT366",214.0645,196.8385,3285073,"190715_Smp_FK180310S80C1-DCM_B.mzML",3291996,"DL-Valine, 2H8",2919748.87361741
"FT366",214.0646,197.7265,4082405,"190715_Smp_FK180310S80C1-DCM_C.mzML",4061448,"DL-Valine, 2H8",4619836.05940455
"FT366",214.0645,225.9192,46332.49,"190715_Std_4uMStdsMix1InMatrix_1.mzML",1842074,"DL-Valine, 2H8",2820093.32511298
"FT366",214.0646,225.7615,12903.16,"190715_Std_4uMStdsMix1InMatrix_2.mzML",503620.3,"DL-Valine, 2H8",1051710.84833235
"FT366",214.0645,218.0769,239410,"190715_Std_4uMStdsMix2InMatrix_2.mzML",895319.2,"DL-Valine, 2H8",1674962.96138375
"FT366",214.0645,215.125,9137849,"190715_Std_H2OinMatrix_1.mzML",7448880,"DL-Valine, 2H8",10570333.1206603
"FT366",214.0645,219.9637,26001.51,"190715_Std_H2OinMatrix_2.mzML",138526.6,"DL-Valine, 2H8",280653.99651472
"FT367",218.1387,260.1764,7998.805,"170706_Blk_Blk0p2_1.mzML",300044.3,"Glycine betaine, 13C5, 15N",NA
"FT367",218.1387,299.2823,3776.704,"170706_Blk_Blk0p2_2.mzML",493317.3,"Glycine betaine, 13C5, 15N",NA
"FT367",218.1387,260.4141,4466454,"190715_Blk_KM1906U14-Blk_C.mzML",6579273,"Glycine betaine, 13C5, 15N",7085007.90766055
"FT367",218.1387,265.5825,653611,"190715_Poo_TruePooFK180310_Full1.mzML",11282008,"Glycine betaine, 13C5, 15N",11350362.5954279
"FT367",218.1387,234.2821,296174.4,"190715_Poo_TruePooFK180310_Full2.mzML",9357223,"Glycine betaine, 13C5, 15N",10183661.6996882
"FT367",218.1387,298.8052,107111.6,"190715_Poo_TruePooFK180310_Half1.mzML",6371124,"Glycine betaine, 13C5, 15N",7308422.38767261
"FT367",218.1387,242.712,861443.5,"190715_Poo_TruePooFK180310_Half2.mzML",7643528,"Glycine betaine, 13C5, 15N",7899220.13013051
"FT367",218.1386,249.9098,193956.2,"190715_Poo_TruePooFK180310_Half3.mzML",8697081,"Glycine betaine, 13C5, 15N",6441763.01411656
"FT367",218.1387,270.3038,96856.05,"190715_Smp_FK180310S62C1-25m_A.mzML",9638690,"Glycine betaine, 13C5, 15N",10894727.8380285
"FT367",218.1387,252.7026,1698652,"190715_Smp_FK180310S62C1-25m_B.mzML",10069502,"Glycine betaine, 13C5, 15N",6982268.23954586
"FT367",218.1388,252.9099,39319105,"190715_Smp_FK180310S62C1-25m_C.mzML",35690147,"Glycine betaine, 13C5, 15N",40181984.5504877
"FT367",218.1387,255.9275,868662.7,"190715_Smp_FK180310S62C1-DCM_B.mzML",12835210,"Glycine betaine, 13C5, 15N",9946279.37119024
"FT367",218.1387,260.7517,4896506,"190715_Smp_FK180310S62C1-DCM_C.mzML",9874700,"Glycine betaine, 13C5, 15N",6814216.49230034
"FT367",218.1387,248.7741,7223760,"190715_Smp_FK180310S64C1-25m_A.mzML",10354466,"Glycine betaine, 13C5, 15N",7430994.85747136
"FT367",218.1387,249.8372,1384595,"190715_Smp_FK180310S64C1-25m_B.mzML",8201230,"Glycine betaine, 13C5, 15N",10740322.0237134
"FT367",218.1387,269.4456,359048.9,"190715_Smp_FK180310S64C1-25m_C.mzML",13293941,"Glycine betaine, 13C5, 15N",14404010.4852428
"FT367",218.1387,224.3269,83351.36,"190715_Smp_FK180310S64C1-DCM_A.mzML",7937227,"Glycine betaine, 13C5, 15N",8986720.09108498
"FT367",218.1387,223.8661,129656.8,"190715_Smp_FK180310S64C1-DCM_B.mzML",9164283,"Glycine betaine, 13C5, 15N",7450701.25721405
"FT367",218.1387,261.3453,2711332,"190715_Smp_FK180310S64C1-DCM_C.mzML",9234954,"Glycine betaine, 13C5, 15N",6471587.11100756
"FT367",218.1387,252.75,5629873,"190715_Smp_FK180310S77C1-25m_A.mzML",8503651,"Glycine betaine, 13C5, 15N",6319984.88452943
"FT367",218.1387,245.1482,1204183,"190715_Smp_FK180310S77C1-25m_B.mzML",7208821,"Glycine betaine, 13C5, 15N",8110543.80704997
