"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Na","NH4","H2O_H","K","X2H"
"FT033",102.128130870607,338.408538818359,4271970.29325878,0,0,0,0,0,0,0,0,0,0,0
"FT034",103.955911199071,183.089736938477,4174501.39729801,0,0,0,0,0,0,0,0,0,0,0
"FT036",104.107389132215,552.21728515625,129143455.482504,6995367,0,0,0,471813,0,0,0,0,0,0
"FT038",106.050300520833,623.525512695312,2729593.63530106,0,0,0,0,0,0,0,0,0,0,0
"FT039",106.08666605181,463.568817138672,8548484.46302348,0,0,0,0,0,0,0,0,0,0,0
"FT040",111.068698337304,580.705871582031,5752711.96482836,0,0,0,0,0,0,0,0,0,0,0
"FT041",112.050892389643,324.596160888672,137454411.284046,5962433,0,0,0,0,0,0,0,0,0,0
"FT042",112.050901904741,388.072086,28639735.0114277,0,0,0,0,0,0,0,0,0,0,0
"FT043",112.06211751023,235.201431274414,614973.095990068,0,0,0,0,0,0,0,0,0,0,0
"FT044",113.054213718053,323.227111816406,5949694.91497865,0,0,0,0,0,0,0,0,0,0,0
"FT045",113.060054511857,107.866806030273,16313601.3675255,0,0,0,0,0,0,0,0,0,0,0
"FT046",114.066502408439,243.33235168457,5139421.95980534,0,0,0,0,0,0,0,0,0,0,0
"FT047",114.091673392077,124.801765441895,9300145.85195666,0,0,0,0,0,0,0,0,0,0,0
"FT048",115.095032287515,123.989318847656,483040.866989327,0,0,0,0,0,0,0,0,0,0,0
"FT049",116.051672182098,324.378326416016,2998718.50083587,0,0,0,0,128137323,0,0,0,0,0,0
"FT050",116.070895723499,448.150634765625,90717470.9789621,4996802,0,0,0,0,0,0,0,0,0,0
"FT052",117.054920647997,566.422171597656,9659516.94829807,0,0,0,0,0,0,0,0,0,0,0
"FT054",117.113760857707,560.435180664062,720065.742684603,0,0,0,0,0,0,0,0,0,0,0
"FT056",118.061589825013,621.908294677734,1811392.74626455,0,0,0,0,0,0,0,0,0,0,0
"FT057",118.08645156073,344.069000244141,4192647649.64358,234552072,5143421,0,0,15034097,17478156,0,0,0,0,0
"FT058",118.122707505008,345.002487182617,4528633.15951873,0,0,0,0,0,0,0,0,0,0,0
"FT059",119.035461310063,229.742141723633,1292685.7311475,0,0,0,0,0,0,0,0,0,0,0
"FT063",120.032549526854,231.497741699219,1489976.97361807,0,0,0,0,798002,0,0,0,0,0,0
"FT064",120.06575479477,573.112426757812,3734953.74008538,0,0,0,0,0,0,0,0,0,0,0
"FT065",120.081048231852,262.968872070312,15850751.4828177,0,0,0,0,0,0,0,0,0,0,0
"FT066",120.081003518585,268.848022460938,17481977.1659852,0,0,0,0,0,0,0,0,0,0,0
"FT069",121.032016412326,414.843811035156,280962631.863278,11789980,0,12487792,2150047,0,0,0,0,0,0,0
"FT071",121.068424436163,555.91357421875,2743026.94516646,0,0,0,0,0,0,0,0,0,0,0
"FT072",121.10227389425,469.06297302246,4221577.82686055,0,0,0,0,0,0,0,0,0,0,0
"FT073",122.006539843143,1191.29846191406,91866809.1528796,0,0,0,0,0,0,0,0,0,0,0
"FT076",122.081448508027,424.220092773438,25235091.4503959,0,0,0,0,0,0,0,0,0,0,0
"FT077",122.108473762438,449.80810546875,13232362.7038485,0,0,0,0,0,0,0,0,0,0,0
"FT079",123.055491691644,155.750122070312,43462281.2343918,0,0,0,0,0,0,0,0,0,0,0
"FT080",123.096950574851,344.005889892578,11986555.8934153,488973340,0,0,0,0,0,0,0,0,0,0
"FT081",123.103132795929,343.971435546875,4150703.84557928,0,0,0,0,480488304,0,0,0,0,0,0
"FT082",123.114726634931,449.838790893554,55987390.2231909,3028451,0,0,0,0,0,0,0,0,0,0
"FT083",124.039478778867,197.596282958984,101627628.207259,6428548,0,0,0,0,0,0,0,0,0,0
"FT084",124.039471369291,201.611465454102,110956291.317633,7040815,0,0,0,0,0,0,0,0,0,0
"FT088",125.07918732707,193.165084838867,1199042.25882865,0,0,0,0,0,0,0,0,0,0,0
"FT089",126.02213757641,582.978302001953,10646041.5036519,0,0,0,0,0,0,0,0,0,0,0
"FT090",126.136669842807,425.021728515625,13099200.0271469,732832,0,0,0,0,0,0,0,0,0,0
"FT091",127.072864300914,322.365447998047,209803682.198268,0,0,0,0,0,0,0,0,0,0,0
"FT092",127.072879860259,347.488662719727,35765651.8213352,0,0,0,0,0,0,0,0,0,0,0
"FT093",128.131141840137,265.318032,1330573.70514524,0,0,0,0,0,0,0,0,0,0,0
"FT094",129.066036125532,498.930023193359,50694625.919476,2706343,0,0,0,0,0,0,0,0,0,0
"FT095",130.047276591554,586.013977050781,1828763.29257258,0,0,0,0,0,0,0,0,0,0,0
"FT096",130.050016515725,596.927673339844,46124294.9934255,2468374,0,0,0,0,0,0,77778151,0,0,0
"FT097",130.050019077549,649.933288574219,12607570.7768187,0,0,0,0,0,0,0,0,0,0,0
"FT099",130.159199191611,315.111022949219,15717472.1198653,0,0,0,0,0,0,0,0,0,0,0
"FT101",131.070378381901,495.267333984375,7528901.91867199,0,0,0,0,0,0,0,0,0,0,0
"FT102",131.070379908909,452.10595703125,10147273.1744328,0,0,0,0,0,0,0,0,0,0,0
"FT103",132.076889608936,573.441314697266,117556771.784359,5129329,0,0,0,0,0,0,0,0,0,0
"FT104",132.101993305547,348.048629760742,29508447.3988056,0,0,0,0,0,0,0,0,0,0,0
