"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
118.051885411076,118.051849365234,118.051940917969,362.842848,345.431838,391.9074,4513756.21579886,4513710.65152239,260730.578125,50,1
112.050807412833,112.050765991211,112.050834655762,362.842848,346.34583,381.01197,5208903.0724211,4885361.09612012,254184.125,28,1
119.052788413865,119.052742004395,119.052848815918,362.842848,346.34583,381.01197,3071476.49505514,3064000.38827408,192987.46875,60,1
182.014638100225,182.014572143555,182.014709472656,380.109732,347.26557,420.45621,23774399.1946743,23774326.9189173,1097544.125,71,1
180.008120000789,180.008087158203,180.008148193359,381.01197,348.180696,410.381652,13339570.1104183,13339507.9094623,642353.1875,48,1
139.030269001692,139.030166625977,139.03044128418,362.842848,349.095066,378.30036,1381902.19026683,1371535.02999966,91922.8828125,30,1
233.089296263531,233.08903503418,233.089370727539,363.752712,350.929548,378.30036,3321414.45616961,3321387.99771801,287882.3125,57,1
124.100170141313,124.100135803223,124.100212097168,391.9074,353.701782,455.139354,495201194.154519,494802691.449784,25265760,95,1
119.99148931439,119.991355895996,119.991798400879,379.202862,360.994356,396.580746,1575353.25869687,1529076.20525681,91084.9140625,27,1
123.096868626095,123.096824645996,123.09691619873,391.9074,361.933104,421.369458,11804946.2365274,11783516.0961838,617283.75,109,1
204.123080214875,204.123031616211,204.123153686523,389.164548,362.842848,417.718482,16593410.4409432,15554245.1696296,612324.875,61,1
123.103148933951,123.103096008301,123.103210449219,391.9074,370.116666,423.196194,4195130.89966083,4046117.08809276,210182.59375,33,1
126.10471545093,126.104560852051,126.10489654541,391.9074,378.30036,410.381652,1425396.19930588,1425365.03462222,92556.5546875,27,1
133.09898097612,133.098922729492,133.099044799805,402.944946,381.94446,432.345258,10337449.547301,10311911.8378729,564939.875,65,1
139.14271614578,139.142684936523,139.142761230469,414.033006,381.94446,443.303934,6900865.64540711,6900805.20174616,324787.03125,60,1
87.0939881070066,87.0939407348633,87.0940246582031,402.944946,382.846842,431.432634,4210513.34496283,4166259.04561025,239355.796875,54,1
138.054989035949,138.054931640625,138.055038452148,424.10706,398.39736,453.32286,12466922.6275932,10207794.7143519,604790.9375,76,1
153.077128011225,153.077102661133,153.077178955078,425.020794,400.21422,460.616568,26455157.8767505,24377341.4782799,1221708.25,109,1
136.050643489449,136.050628662109,136.050689697266,425.9328,401.121216,460.616568,6131609.16718029,5952448.9201487,288422.78125,54,1
199.063518532977,199.063430786133,199.063629150391,421.369458,405.673812,441.483816,2215114.19479344,2215079.30299467,162467.109375,36,1
236.14917624429,236.149108886719,236.149261474609,457.893714,423.196194,505.23027,111834485.051921,110435037.431985,6096929,88,1
155.054048381807,155.054016113281,155.054092407227,445.121172,424.10706,487.971888,118185794.924879,118001871.660741,7736481.5,82,1
152.056709516318,152.056625366211,152.056777954102,445.121172,427.785036,477.039336,4661169.80814059,4064151.47039583,277554.65625,61,1
154.057119735281,154.057052612305,154.057205200195,445.121172,429.6084,465.162282,2302333.33367768,2180907.78171197,166496.34375,31,1
156.057407909426,156.057373046875,156.05744934082,445.121172,429.6084,472.465116,4887201.40075803,4875825.10871599,329042.75,51,1
162.112496160857,162.112426757812,162.112686157227,448.782648,429.6084,473.373732,3319988.23870164,3225077.11188261,196008.125,36,1
177.036042526977,177.035980224609,177.036087036133,444.21168,431.432634,463.342176,2728102.95632115,2718553.45165725,187475.90625,43,1
216.10689385054,216.106704711914,216.107025146484,445.121172,434.168496,457.893714,1235685.88384291,1235663.0711333,120290.15625,29,1
121.031988971319,121.031959533691,121.032035827637,459.707562,436.931226,493.411602,16874631.0770042,16874575.507602,1109795,43,1
237.152788936125,237.152679443359,237.152969360352,457.893714,442.39494,482.490048,9851537.11920485,9700680.25877779,599282.5,36,1
122.081368833832,122.081321716309,122.081405639648,463.342176,446.964408,507.071634,36414325.1583042,36341226.1493733,2205700,72,1
155.081465385771,155.081436157227,155.081512451172,485.21565,458.801082,507.071634,6623034.47401724,6046041.93301628,404361.1875,33,1
126.13658362965,126.136543273926,126.13663482666,480.673806,460.616568,518.875806,15111520.6486148,15111463.2996774,863380.5,80,1
80.1315798314444,80.1315612792969,80.1316146850586,480.673806,462.435804,510.700734,5978121.53178539,5964711.43271961,330917.9375,70,1
125.130219519312,125.130142211914,125.130317687988,479.764188,468.823512,499.78968,1041228.70666429,1024065.94768639,66459.453125,26,1
116.070853542492,116.070823669434,116.070877075195,495.22746,470.642376,527.049252,35283007.6474494,32933243.9487204,1987630,85,1
106.086612231072,106.086585998535,106.086639404297,492.505734,471.553236,537.04605,22693764.5716521,22520417.6601384,1141974.25,68,1
