"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT156",146.117635638422,408.210403442383,"Glycine betaine, 13C5, 15N",93892701.2344795
"FT157",146.117610601875,256.093505859375,"Glycine betaine, 13C5, 15N",1853273.32704753
"FT158",146.980368551832,182.28747,"Guanine, 13C, 15N2",141428982.509702
"FT159",146.980391894357,460.855407714844,"DL-Histidine, 15N",83987570.1489019
"FT162",147.099661858542,531.835205078125,"None",2706075.37042943
"FT163",147.09965930473,526.331726074219,"DL-Histidine, 15N",2472857.50279002
"FT164",147.112847113506,968.797790527344,"Adenine, 15N2",3805233.41454881
"FT166",147.983691396531,181.260841369629,"Adenine, 15N2",5647961.82624312
"FT167",148.042785564332,483.188629150391,"Arsenobetaine, 13C2",1687725.19708071
"FT169",148.060477430879,652.121765136719,"DL-Proline, 2H7",80510249.2400706
"FT170",148.060515330693,623.513977050781,"Arsenobetaine, 13C2",2255760.45967488
"FT172",148.096864645164,410.573974609375,"Arsenobetaine, 13C2",67083677.4064785
"FT173",148.105896907001,534.012329101562,"None",37595415.4147487
"FT174",148.105862638495,532.668701171875,"DL-Histidine, 15N",56799040.0668596
"FT177",149.063147582876,530.537811279297,"Glycine betaine, 13C5, 15N",5510449.88993851
"FT181",150.058358337386,364.119384765625,"L-Methionine, 2H3",58167396.5483063
"FT182",150.077504932,298.167053222656,"Adenine, 15N2",3280186.50287789
"FT183",150.112556804494,194.564758300781,"Glycine betaine, 13C5, 15N",16218405.8463569
"FT184",151.042380111909,514.084197998047,"None",1879001.72807926
"FT185",151.042363299102,481.001281738281,"Glycine betaine, 13C5, 15N",4344584.82980983
"FT186",151.096567899458,135.410446166992,"Arsenobetaine, 13C2",19213691.5892913
"FT187",151.144195970867,312.926116943359,"Arsenobetaine, 13C2",272465454.987699
"FT189",152.056760295587,439.640628,"Adenine, 15N2",14133858.2156696
"FT190",152.070667448376,130.325668334961,"Glycine betaine, 13C5, 15N",31220253.2441333
"FT191",152.147537231445,312.441955566406,"Arsenobetaine, 13C2",18238477.197754
"FT195",154.053279716728,264.591949462891,"L-Methionine, 2H3",13679591.2289764
"FT196",154.07236409198,454.430374145508,"L-Methionine, 2H3",1058514.05430861
"FT198",154.080267424108,195.115631103516,"Glycine betaine, 13C5, 15N",1227734.89229619
"FT200",155.081529519569,438.65673828125,"Glycine betaine, 13C5, 15N",194653255.369598
"FT202",156.076878986051,584.201843261719,"DL-Histidine, 15N",112111845.291147
"FT206",157.097273247381,349.428192138672,"Arsenobetaine, 13C2",15644910.6516793
"FT207",158.081275161022,394.811676025391,"DL-Proline, 2H7",12933489.1269642
"FT208",158.117651995376,446.966369628906,"Glycine betaine, 13C5, 15N",6290731.00071305
"FT209",159.017110236033,577.520812988281,"None",18683682.1916725
"FT210",159.027815148744,289.878265380859,"None",8378859.62902909
"FT211",159.076490200141,526.210266113281,"DL-Proline, 2H7",6694624.19818829
"FT212",159.076544354968,644.944030761719,"Adenine, 15N2",3611054.39712197
"FT213",160.096902292112,418.680999755859,"Glycine betaine, 13C5, 15N",314274066.978265
"FT214",160.096920004536,372.261810302734,"Glycine betaine, 13C5, 15N",30016663.0943115
"FT215",160.096911475294,479.597564697266,"None",20059482.9731816
"FT216",160.133314514383,497.420272827148,"Arsenobetaine, 13C2",3611221.50533173
"FT217",160.133288737796,431.926788330078,"Arsenobetaine, 13C2",13175120.0861297
"FT218",161.014308603202,577.558410644531,"None",8022458.69928506
"FT219",161.063141347127,469.843078613281,"Arsenobetaine, 13C2",4074077.51339878
"FT221",162.112531827434,403.351165771484,"Glycine betaine, 13C5, 15N",186316331.57821
"FT222",162.112520955115,493.390075683594,"Glycine betaine, 13C5, 15N",155000617.122855
"FT223",162.112546971346,317.887359619141,"Arsenobetaine, 13C2",15140064.3088893
"FT226",165.058160489036,415.957855224609,"Arsenobetaine, 13C2",46051152.1085348
"FT229",166.086345597905,474.067565917969,"Glycine betaine, 13C5, 15N",14136807.655702
"FT230",166.086348136468,260.857879638672,"Adenine, 15N2",29481138.3397225
"FT231",166.086357341595,418.087951660156,"Glycine betaine, 13C5, 15N",9482605.12305453
"FT233",168.069069612435,414.487396240234,"L-Methionine, 2H3",4211225.09895429
"FT234",168.088054957964,253.627746,"Adenine, 15N2",1590548.78534457
"FT235",168.096189729317,157.624771118164,"Glycine betaine, 13C5, 15N",2510714.54372137
"FT237",170.068431434509,941.934387207031,"Arsenobetaine, 13C2",8802459.57641492
"FT238",170.117646684235,397.945678710938,"Glycine betaine, 13C5, 15N",16319196.912574
"FT239",171.076470257533,598.570129394531,"Adenine, 15N2",1575234.52995771
"FT240",171.084409203087,191.691619873047,"Glycine betaine, 13C5, 15N",35227523.7992743
"FT241",172.071812855785,441.468048095703,"None",780619.284006509
"FT242",172.133258413408,111.558685302734,"Adenine, 15N2",8347234.39943106
"FT243",173.092196012598,414.218872070312,"Glycine betaine, 13C5, 15N",14057252.8607102
"FT244",174.022043816961,270.980346679688,"L-Methionine, 2H3",10062726.1828133
"FT245",174.038745810002,402.968185424805,"None",45227506.7028267
"FT246",174.136568491034,264.306823730469,"L-Methionine, 2H3",2136648.70274317
"FT248",175.071470703208,641.28173828125,"DL-Proline, 2H7",1139018.35749715
"FT250",175.1077905672,550.844390869141,"Adenine, 15N2",1323773.8250301
"FT251",175.119075003855,1008.79736328125,"DL-Proline, 2H7",153898556.498103
"FT252",176.091811227163,578.545654296875,"DL-Histidine, 15N",19814296.6754754
"FT254",176.111190159306,396.996505737304,"Guanine, 13C, 15N2",1853031.90011589
"FT255",176.128237619438,381.49040222168,"Glycine betaine, 13C5, 15N",6956910.60201081
"FT256",176.12823043881,449.315765380859,"Glycine betaine, 13C5, 15N",4693213.89943396
"FT257",176.128185475978,541.752197265625,"Adenine, 15N2",36213503.2036071
"FT258",176.13946277885,345.763534545899,"None",5116078.16586611
