Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],Comment
518.0848,,,,,Positive,3,7,FT954
520.3329,,,,,Positive,0,4,FT955
521.0971,,,,,Positive,3,7,FT956
548.2718,,,,,Positive,1,4,FT957
560.0793,,,,,Positive,11,15,FT958
575.977,,,,,Positive,13,16,FT959
580.9199,,,,,Positive,13,17,FT960
584.0889,,,,,Positive,12,16,FT963
596.8975,,,,,Positive,13,16,FT967
608.0889,,,,,Positive,11,15,FT968
664.1166,,,,,Positive,10,14,FT969
666.1324,,,,,Positive,10,13,FT970
695.9139,,,,,Positive,13,17,FT971
707.9976,,,,,Positive,13,16,FT974
708.9966,,,,,Positive,13,16,FT975
711.8916,,,,,Positive,13,16,FT977
765.4946,,,,,Positive,13,16,FT979
786.1647,,,,,Positive,8,12,FT980
810.9078,,,,,Positive,13,16,FT982
822.9915,,,,,Positive,13,16,FT985
